"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"04호선","1","3","0423","423","충무로","053900","0426","0409","서울역","당고개","235230","1762","0419","오이도","한성대입구"
"04호선","2","1","1751","444","산본","054730","1458","1762","금정","오이도","241400","0409","1759","당고개","안산"
"04호선","1","3","0413","413","쌍문","060130","0426","0409","서울역","당고개","235900","1762","0411","오이도","노원"
"04호선","1","1","0411","411","노원","060500","0426","0405","서울역","진접","250030","0433","0409","사당","당고개"
"04호선","2","2","1453","438","과천","060130","0433","1762","사당","오이도","241200","0409","1751","당고개","산본"
"04호선","1","2","1760","454","신길온천","053600","1762","0409","오이도","당고개","233000","1762","1458","오이도","금정"
"04호선","1","3","1452","437","대공원","054700","1751","0409","산본","당고개","235130","1762","0433","오이도","사당"
"04호선","1","1","0426","426","서울역","053300","0426","0405","서울역","진접","244730","1762","0419","오이도","한성대입구"
"04호선","1","3","1759","453","안산","052030","1759","0409","안산","당고개","233330","1762","1458","오이도","금정"
"04호선","2","3","0418","418","성신여대입구","054630","0411","0433","노원","사당","234530","0405","0426","진접","서울역"
"04호선","1","2","1758","452","초지","052300","1759","0409","안산","당고개","233600","1762","1458","오이도","금정"
"04호선","2","2","1752","446","대야미","055000","1458","1762","금정","오이도","241330","0409","1759","당고개","안산"
"04호선","1","1","0410","410","상계","060700","0426","0405","서울역","진접","250230","0433","0409","사당","당고개"
"04호선","2","2","0413","413","쌍문","053430","0411","0433","노원","사당","233330","0405","0426","진접","서울역"
"04호선","1","3","1453","438","과천","054500","1751","0409","산본","당고개","234930","1762","0433","오이도","사당"
"04호선","2","2","1452","437","대공원","055930","0433","1762","사당","오이도","241000","0409","1751","당고개","산본"
"04호선","2","3","1760","454","신길온천","061100","1458","1762","금정","오이도","235830","0409","1762","당고개","오이도"
"04호선","2","1","1456","441","평촌","060900","0433","1762","사당","오이도","242800","0409","1458","당고개","금정"
"04호선","2","2","1759","453","안산","060800","1458","1762","금정","오이도","235530","0409","1762","당고개","오이도"
"04호선","2","3","1758","452","초지","060500","1458","1762","금정","오이도","242830","0409","1759","당고개","안산"
"04호선","1","2","0418","418","성신여대입구","054930","0426","0409","서울역","당고개","234700","1762","0411","오이도","노원"
"04호선","2","1","0414","414","수유","053700","0411","1762","노원","오이도","243530","0405","0426","진접","서울역"
"04호선","1","3","1752","446","대야미","053800","1759","0409","안산","당고개","235100","1762","1458","오이도","금정"
"04호선","2","2","1757","451","고잔","060230","1458","1762","금정","오이도","242600","0409","1759","당고개","안산"
"04호선","2","2","0406","406","오남","053530","0405","0433","진접","사당","233730","0405","0409","진접","당고개"
"04호선","1","1","0432","432","총신대입구","053430","0434","0405","남태령","진접","243300","1762","0419","오이도","한성대입구"
"04호선","1","2","0419","419","한성대입구","054730","0426","0409","서울역","당고개","234500","1762","0411","오이도","노원"
"04호선","1","3","1757","451","고잔","052530","1759","0409","안산","당고개","233830","1762","1458","오이도","금정"
"04호선","1","3","0406","406","오남","054330","0409","0405","당고개","진접","235700","0433","0405","사당","진접"
"04호선","2","3","0419","419","한성대입구","053700","0419","1762","한성대입구","오이도","234730","0405","0426","진접","서울역"
"04호선","2","2","1454","439","정부과천청사","060330","0433","1762","사당","오이도","241400","0409","1751","당고개","산본"
"04호선","2","1","0427","427","숙대입구","055130","0419","1762","한성대입구","오이도","244830","0405","0433","진접","사당"
"04호선","2","1","1756","450","중앙","060330","1458","1762","금정","오이도","243000","0409","1759","당고개","안산"
"04호선","1","3","1454","439","정부과천청사","054300","1751","0409","산본","당고개","234730","1762","0433","오이도","사당"
"04호선","2","1","1755","449","한대앞","060100","1458","1762","금정","오이도","242730","0409","1759","당고개","안산"
"04호선","2","1","0419","419","한성대입구","053500","0419","1762","한성대입구","오이도","244700","0405","0426","진접","서울역"
"04호선","1","1","1757","451","고잔","051300","1759","0409","안산","당고개","241630","1762","1458","오이도","금정"
"04호선","1","1","0406","406","오남","054430","0409","0405","당고개","진접","245500","0433","0405","사당","진접"
"04호선","2","2","0432","432","총신대입구","060500","0419","1762","한성대입구","오이도","235830","0409","1751","당고개","산본"
"04호선","1","3","0432","432","총신대입구","053430","0434","0405","남태령","진접","233300","1762","0419","오이도","한성대입구"
"04호선","2","3","1755","449","한대앞","055800","1458","1762","금정","오이도","242130","0409","1759","당고개","안산"
"04호선","1","2","0427","427","숙대입구","054700","0434","0405","남태령","진접","234530","1762","0419","오이도","한성대입구"
"04호선","2","3","1756","450","중앙","060030","1458","1762","금정","오이도","242400","0409","1759","당고개","안산"
"04호선","1","1","1454","439","정부과천청사","053000","1751","0409","산본","당고개","241730","1762","0419","오이도","한성대입구"
"04호선","1","2","1755","449","한대앞","053000","1759","0409","안산","당고개","234300","1762","1458","오이도","금정"
"04호선","2","3","0427","427","숙대입구","055230","0419","1762","한성대입구","오이도","234600","0409","1751","당고개","산본"
"04호선","1","2","1756","450","중앙","052730","1759","0409","안산","당고개","234030","1762","1458","오이도","금정"
"04호선","1","3","1763","445","수리산","054130","1759","0409","안산","당고개","235430","1762","1458","오이도","금정"
"04호선","2","2","0416","416","미아사거리","054130","0411","0433","노원","사당","234030","0405","0426","진접","서울역"
"04호선","1","3","1450","435","선바위","055100","1751","0409","산본","당고개","235530","1762","0433","오이도","사당"
"04호선","1","2","0428","428","삼각지","054500","0434","0405","남태령","진접","234330","1762","0419","오이도","한성대입구"
"04호선","1","1","0423","423","충무로","053800","0426","0405","서울역","진접","245230","1762","0419","오이도","한성대입구"
"04호선","2","3","1457","442","범계","061130","0433","1762","사당","오이도","242200","0409","1751","당고개","산본"
"04호선","2","2","0430","430","이촌","055830","0419","1762","한성대입구","오이도","235200","0409","1751","당고개","산본"
"04호선","2","1","0433","433","사당","055000","0433","1762","사당","오이도","240830","0409","1458","당고개","금정"
"04호선","1","3","0416","416","미아사거리","055430","0426","0409","서울역","당고개","235200","1762","0411","오이도","노원"
"04호선","2","2","1763","445","수리산","054630","1458","1762","금정","오이도","241000","0409","1759","당고개","안산"
"04호선","2","1","0429","429","신용산","055500","0419","1762","한성대입구","오이도","245200","0405","0433","진접","사당"
"04호선","2","3","0428","428","삼각지","055430","0419","1762","한성대입구","오이도","234800","0409","1751","당고개","산본"
"04호선","2","2","1450","435","선바위","055530","0433","1762","사당","오이도","240600","0409","1751","당고개","산본"
"04호선","1","2","1457","442","범계","053500","1751","0409","산본","당고개","233930","1762","0433","오이도","사당"
"04호선","1","3","0430","430","이촌","054100","0434","0405","남태령","진접","233930","1762","0419","오이도","한성대입구"
"04호선","2","1","1758","452","초지","060800","1458","1762","금정","오이도","243430","0409","1759","당고개","안산"
"04호선","2","3","0414","414","수유","053700","0411","0433","노원","사당","233600","0405","0426","진접","서울역"
"04호선","1","1","1752","446","대야미","052530","1759","0409","안산","당고개","242900","1762","1458","오이도","금정"
"04호선","1","2","1751","444","산본","052700","1751","0409","산본","당고개","235630","1762","1458","오이도","금정"
"04호선","2","2","0411","411","노원","053000","0411","0433","노원","사당","232900","0405","0426","진접","서울역"
"04호선","1","3","0410","410","상계","060800","0426","0409","서울역","당고개","235730","0433","0409","사당","당고개"
"04호선","1","1","1453","438","과천","053200","1751","0409","산본","당고개","241930","1762","0419","오이도","한성대입구"
"04호선","2","1","1760","454","신길온천","053300","1759","1762","안산","오이도","242500","0409","1762","당고개","오이도"
"04호선","2","2","0426","426","서울역","055030","0419","1762","한성대입구","오이도","234400","0409","1751","당고개","산본"
"04호선","2","3","1456","441","평촌","060930","0433","1762","사당","오이도","242000","0409","1751","당고개","산본"
"04호선","2","1","0418","418","성신여대입구","054630","0411","1762","노원","오이도","244500","0405","0426","진접","서울역"
"04호선","1","2","0414","414","수유","055900","0426","0409","서울역","당고개","235630","1762","0411","오이도","노원"
"04호선","2","2","0410","410","상계","053300","0409","1762","당고개","오이도","232700","0405","0426","진접","서울역"
"04호선","1","3","0411","411","노원","060600","0426","0409","서울역","당고개","235530","0433","0409","사당","당고개"
"04호선","2","3","1751","444","산본","054430","1458","1762","금정","오이도","240800","0409","1759","당고개","안산"
"04호선","1","1","0413","413","쌍문","060030","0426","0405","서울역","진접","245600","0433","0409","사당","당고개"
"04호선","1","1","1452","437","대공원","053400","1751","0409","산본","당고개","242130","1762","0419","오이도","한성대입구"
"04호선","1","3","0426","426","서울역","053400","0426","0409","서울역","당고개","234730","1762","0419","오이도","한성대입구"
"04호선","1","2","1456","441","평촌","053700","1751","0409","산본","당고개","234130","1762","0433","오이도","사당"
"04호선","1","1","1759","453","안산","050800","1759","0409","안산","당고개","241130","1762","1458","오이도","금정"
"04호선","1","3","0420","420","혜화","054530","0426","0409","서울역","당고개","235900","1762","0419","오이도","한성대입구"
"04호선","2","3","0412","412","창동","053200","0411","0433","노원","사당","233100","0405","0426","진접","서울역"
"04호선","2","3","1754","448","상록수","055600","1458","1762","금정","오이도","241930","0409","1759","당고개","안산"
"04호선","2","2","0420","420","혜화","053900","0419","1762","한성대입구","오이도","234930","0405","0426","진접","서울역"
"04호선","1","2","1754","448","상록수","053200","1759","0409","안산","당고개","234500","1762","1458","오이도","금정"
"04호선","1","2","0412","412","창동","060400","0426","0409","서울역","당고개","240130","1762","0411","오이도","노원"
"04호선","2","3","0405","405","진접","053230","0405","0433","진접","사당","233430","0405","0409","진접","당고개"
"04호선","1","1","0434","434","남태령","053000","0434","0405","남태령","진접","242830","1762","0419","오이도","한성대입구"
"04호선","1","1","0421","421","동대문","054200","0426","0405","서울역","진접","245630","1762","0419","오이도","한성대입구"
"04호선","2","1","0417","417","길음","054400","0411","1762","노원","오이도","244230","0405","0426","진접","서울역"
"04호선","2","3","1761","455","정왕","061400","1458","1762","금정","오이도","240130","0409","1762","당고개","오이도"
"04호선","1","1","1753","447","반월","052300","1759","0409","안산","당고개","242630","1762","1458","오이도","금정"
"04호선","1","1","0409","409","당고개","053200","0409","0405","당고개","진접","244230","0433","0405","사당","진접"
"04호선","1","2","1761","455","정왕","053300","1762","0409","오이도","당고개","232700","1762","1458","오이도","금정"
"04호선","2","3","0424","424","명동","054700","0419","1762","한성대입구","오이도","235730","0405","0426","진접","서울역"
"04호선","1","2","0422","422","동대문역사문화공원","054130","0426","0409","서울역","당고개","235500","1762","0419","오이도","한성대입구"
"04호선","1","2","0424","424","명동","053730","0426","0409","서울역","당고개","235100","1762","0419","오이도","한성대입구"
"04호선","2","1","0431","431","동작","060100","0419","1762","한성대입구","오이도","245800","0405","0433","진접","사당"
"04호선","1","3","1762","456","오이도","053000","1762","0409","오이도","당고개","232400","1762","1458","오이도","금정"
"04호선","1","1","0415","415","미아","055600","0426","0405","서울역","진접","245130","0433","0409","사당","당고개"
"04호선","2","3","0422","422","동대문역사문화공원","054300","0419","1762","한성대입구","오이도","235330","0405","0426","진접","서울역"
"04호선","1","3","0408","408","별내별가람","053630","0409","0405","당고개","진접","235000","0433","0405","사당","진접"
"04호선","2","2","1451","436","경마공원","055730","0433","1762","사당","오이도","240800","0409","1751","당고개","산본"
"04호선","1","1","1455","440","인덕원","052630","1751","0409","산본","당고개","241400","1762","0419","오이도","한성대입구"
"04호선","2","2","0425","425","회현","054830","0419","1762","한성대입구","오이도","235900","0405","0426","진접","서울역"
"04호선","2","2","0408","408","별내별가람","054230","0405","0433","진접","사당","234430","0405","0409","진접","당고개"
"04호선","1","3","1451","436","경마공원","054900","1751","0409","산본","당고개","235330","1762","0433","오이도","사당"
"04호선","1","1","1458","443","금정","051830","1751","0409","산본","당고개","240600","1762","0419","오이도","한성대입구"
"04호선","1","3","0425","425","회현","053600","0426","0409","서울역","당고개","234930","1762","0419","오이도","한성대입구"
"04호선","1","2","0423","423","충무로","053900","0426","0409","서울역","당고개","235230","1762","0419","오이도","한성대입구"
"04호선","1","1","0428","428","삼각지","054500","0434","0405","남태령","진접","244330","1762","0419","오이도","한성대입구"
"04호선","1","3","0429","429","신용산","054330","0434","0405","남태령","진접","234200","1762","0419","오이도","한성대입구"
"04호선","2","1","0416","416","미아사거리","054130","0411","1762","노원","오이도","244000","0405","0426","진접","서울역"
"04호선","2","2","0433","433","사당","055000","0433","1762","사당","오이도","240030","0409","1751","당고개","산본"
"04호선","2","1","0430","430","이촌","055730","0419","1762","한성대입구","오이도","245430","0405","0433","진접","사당"
"04호선","2","3","0423","423","충무로","054530","0419","1762","한성대입구","오이도","235600","0405","0426","진접","서울역"
"04호선","2","1","1450","435","선바위","055500","0433","1762","사당","오이도","241400","0409","1458","당고개","금정"
"04호선","2","2","0429","429","신용산","055600","0419","1762","한성대입구","오이도","234930","0409","1751","당고개","산본"
"04호선","2","1","1763","445","수리산","054930","1458","1762","금정","오이도","241600","0409","1759","당고개","안산"
"04호선","1","3","0433","433","사당","053230","0434","0405","남태령","진접","233100","1762","0419","오이도","한성대입구"
"04호선","1","1","1457","442","범계","052200","1751","0409","산본","당고개","240930","1762","0419","오이도","한성대입구"
"04호선","1","2","1752","446","대야미","053800","1759","0409","안산","당고개","235100","1762","1458","오이도","금정"
"04호선","2","2","1758","452","초지","060500","1458","1762","금정","오이도","242830","0409","1759","당고개","안산"
"04호선","1","3","0418","418","성신여대입구","054930","0426","0409","서울역","당고개","234700","1762","0411","오이도","노원"
"04호선","2","3","1759","453","안산","060800","1458","1762","금정","오이도","235530","0409","1762","당고개","오이도"
"04호선","2","1","0426","426","서울역","054930","0419","1762","한성대입구","오이도","244630","0405","0433","진접","사당"
"04호선","2","3","1452","437","대공원","055930","0433","1762","사당","오이도","241000","0409","1751","당고개","산본"
"04호선","2","2","1760","454","신길온천","061100","1458","1762","금정","오이도","235830","0409","1762","당고개","오이도"
"04호선","1","2","1453","438","과천","054500","1751","0409","산본","당고개","234930","1762","0433","오이도","사당"
"04호선","2","1","0411","411","노원","053000","0411","1762","노원","오이도","242830","0405","0426","진접","서울역"
"04호선","2","3","0413","413","쌍문","053430","0411","0433","노원","사당","233330","0405","0426","진접","서울역"
"04호선","1","1","1751","444","산본","051400","1751","0409","산본","당고개","243430","1762","1458","오이도","금정"
"04호선","2","3","1752","446","대야미","055000","1458","1762","금정","오이도","241330","0409","1759","당고개","안산"
"04호선","1","1","0414","414","수유","055800","0426","0405","서울역","진접","245330","0433","0409","사당","당고개"
"04호선","2","2","0418","418","성신여대입구","054630","0411","0433","노원","사당","234530","0405","0426","진접","서울역"
"04호선","1","3","1758","452","초지","052300","1759","0409","안산","당고개","233600","1762","1458","오이도","금정"
"04호선","1","2","1759","453","안산","052030","1759","0409","안산","당고개","233330","1762","1458","오이도","금정"
"04호선","1","1","1456","441","평촌","052400","1751","0409","산본","당고개","241130","1762","0419","오이도","한성대입구"
"04호선","1","3","1760","454","신길온천","053600","1762","0409","오이도","당고개","233000","1762","1458","오이도","금정"
"04호선","1","2","1452","437","대공원","054700","1751","0409","산본","당고개","235130","1762","0433","오이도","사당"
"04호선","2","3","1453","438","과천","060130","0433","1762","사당","오이도","241200","0409","1751","당고개","산본"
"04호선","1","2","0413","413","쌍문","060130","0426","0409","서울역","당고개","235900","1762","0411","오이도","노원"
"04호선","2","1","0410","410","상계","053300","0409","0433","당고개","사당","242630","0405","0426","진접","서울역"
"04호선","2","2","0419","419","한성대입구","053700","0419","1762","한성대입구","오이도","234730","0405","0426","진접","서울역"
"04호선","2","1","0432","432","총신대입구","060400","0419","1762","한성대입구","오이도","250100","0405","0433","진접","사당"
"04호선","1","2","0406","406","오남","054330","0409","0405","당고개","진접","235700","0433","0405","사당","진접"
